ts,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.SP_Recycle_Flow_Rate,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.SP_Recycle_Pump_Stop_Level,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.FIT_30_04,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.LIT_30_01,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.UCR_30_04,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.SC_30_04,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.PSH_30_04,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.UA_30_04,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.YA_30_04,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.Sts_Auto,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.Power_Failure
2024-06-19 16:55:46,200.0,3.5,200.23448181152344,14.63821792602539,True,72.38347625732422,False,False,False,True,False
2024-06-19 16:55:49,200.0,3.5,199.7825469970703,14.73376178741455,True,72.4745864868164,False,False,False,True,False
2024-06-19 16:55:51,200.0,3.5,199.9510955810547,14.890891075134277,True,72.4411392211914,False,False,False,True,False
2024-06-19 16:55:54,200.0,3.5,200.1311798095703,14.871082305908203,True,72.40455627441406,False,False,False,True,False
2024-06-19 16:55:57,200.0,3.5,204.01959228515625,15.118334770202637,True,71.61174774169922,False,False,False,True,False
2024-06-19 16:55:59,200.0,3.5,208.46746826171875,15.366443634033203,True,70.68873596191406,False,False,False,True,False
2024-06-19 16:56:03,200.0,3.5,214.8282470703125,15.689298629760742,True,69.34423065185547,False,False,False,True,False
2024-06-19 16:56:06,200.0,3.5,217.06846618652344,15.999540328979492,True,68.81552124023438,False,False,False,True,False
2024-06-19 16:56:08,200.0,3.5,218.8355255126953,15.991175651550293,True,68.38584899902344,False,False,False,True,False
2024-06-19 16:56:11,200.0,3.5,220.28367614746094,15.97679328918457,True,68.01350402832031,False,False,False,True,False
2024-06-19 16:56:13,200.0,3.5,220.07066345214844,15.88368034362793,True,67.98912048339844,False,False,False,True,False
2024-06-19 16:56:16,200.0,3.5,218.72560119628906,15.871211051940918,True,68.16283416748047,False,False,False,True,False
2024-06-19 16:56:18,200.0,3.5,217.52000427246094,15.968555450439453,True,68.33045196533203,False,False,False,True,False
2024-06-19 16:56:21,200.0,3.5,214.69027709960938,15.865649223327637,True,68.83399200439453,False,False,False,True,False
2024-06-19 16:56:25,200.0,3.5,207.93161010742188,15.15174674987793,True,70.11326599121094,False,False,False,True,False
2024-06-19 16:56:27,200.0,3.5,204.22665405273438,15.176573753356934,True,70.82892608642578,False,False,False,True,False
2024-06-19 16:56:30,200.0,3.5,199.9663848876953,14.769148826599121,True,71.6758041381836,False,False,False,True,False
2024-06-19 16:56:32,200.0,3.5,195.9541473388672,14.969149589538574,True,72.49010467529297,False,False,False,True,False
2024-06-19 16:56:35,200.0,3.5,192.01654052734375,14.711825370788574,True,73.30596160888672,False,False,False,True,False
2024-06-19 16:56:37,200.0,3.5,188.4271240234375,14.888754844665527,True,74.06758117675781,False,False,False,True,False
2024-06-19 16:56:40,200.0,3.5,182.6376953125,14.134415626525879,True,75.29961395263672,False,False,False,True,False
2024-06-19 16:56:43,200.0,3.5,181.1002655029297,14.264214515686035,True,75.68006896972656,False,False,False,True,False
2024-06-19 16:56:45,200.0,3.5,180.45156860351562,14.289889335632324,True,75.88882446289062,False,False,False,True,False
2024-06-19 16:56:47,200.0,3.5,180.43099975585938,13.890461921691895,True,75.9539794921875,False,False,False,True,False
2024-06-19 16:56:51,200.0,3.5,181.36688232421875,14.01339340209961,True,75.88309478759766,False,False,False,True,False
2024-06-19 16:56:53,200.0,3.5,182.7139892578125,14.188440322875977,True,75.67410278320312,False,False,False,True,False
2024-06-19 16:56:55,200.0,3.5,182.7139892578125,14.188440322875977,True,75.74612426757812,False,False,False,True,False
2024-06-19 16:56:58,200.0,3.5,185.65847778320312,13.984742164611816,True,75.21819305419922,False,False,False,True,False
2024-06-19 16:57:00,200.0,3.5,188.31935119628906,14.602409362792969,True,74.73580169677734,False,False,False,True,False
2024-06-19 16:57:03,200.0,3.5,191.899658203125,14.367339134216309,True,74.05498504638672,False,False,False,True,False
2024-06-19 16:57:06,200.0,3.5,199.88555908203125,14.61964225769043,True,73.25545501708984,False,False,False,True,False
2024-06-19 16:57:08,200.0,3.5,199.88555908203125,14.61964225769043,True,72.47843170166016,False,False,False,True,False
2024-06-19 16:57:11,200.0,3.5,204.40997314453125,15.257414817810059,True,71.55704498291016,False,False,False,True,False
2024-06-19 16:57:13,200.0,3.5,208.0701904296875,15.241659164428711,True,70.79291534423828,False,False,False,True,False
2024-06-19 16:57:16,200.0,3.5,211.515869140625,15.09663200378418,True,70.05722045898438,False,False,False,True,False
2024-06-19 16:57:18,200.0,3.5,214.83375549316406,15.626246452331543,True,69.3332290649414,False,False,False,True,False
2024-06-19 16:57:21,200.0,3.5,217.5447235107422,15.881481170654297,True,68.71907043457031,False,False,False,True,False
2024-06-19 16:57:24,200.0,3.5,219.9742889404297,16.092205047607422,True,68.12240600585938,False,False,False,True,False
2024-06-19 16:57:27,200.0,3.5,219.81509399414062,16.330276489257812,True,68.07122039794922,False,False,False,True,False
2024-06-19 16:57:29,200.0,3.5,218.88180541992188,16.08073616027832,True,68.19222259521484,False,False,False,True,False
2024-06-19 16:57:32,200.0,3.5,217.08685302734375,16.095157623291016,True,68.44631958007812,False,False,False,True,False
2024-06-19 16:57:35,200.0,3.5,215.06448364257812,15.895936965942383,True,68.78550720214844,False,False,False,True,False
2024-06-19 16:57:37,200.0,3.5,211.4234619140625,15.689979553222656,True,69.46155548095703,False,False,False,True,False
2024-06-19 16:57:40,200.0,3.5,208.31103515625,15.241499900817871,True,70.03858184814453,False,False,False,True,False
2024-06-19 16:57:43,200.0,3.5,199.72035217285156,15.00074291229248,True,70.85240173339844,False,False,False,True,False
2024-06-19 16:57:45,200.0,3.5,199.72035217285156,15.00074291229248,True,71.73704528808594,False,False,False,True,False
2024-06-19 16:57:48,200.0,3.5,196.20726013183594,14.770594596862793,True,72.45399475097656,False,False,False,True,False
2024-06-19 16:57:50,200.0,3.5,188.44357299804688,14.365760803222656,True,73.34729766845703,False,False,False,True,False
2024-06-19 16:57:53,200.0,3.5,184.9199676513672,14.295035362243652,True,74.08539581298828,False,False,False,True,False
2024-06-19 16:57:56,200.0,3.5,182.3902587890625,14.156261444091797,True,74.86404418945312,False,False,False,True,False
2024-06-19 16:57:58,200.0,3.5,181.0696563720703,14.105308532714844,True,75.44229125976562,False,False,False,True,False
2024-06-19 16:58:01,200.0,3.5,180.41844177246094,13.452960014343262,True,75.78474426269531,False,False,False,True,False
2024-06-19 16:58:03,200.0,3.5,180.1897430419922,13.863729476928711,True,75.99630737304688,False,False,False,True,False
2024-06-19 16:58:07,200.0,3.5,180.7192840576172,14.097624778747559,True,76.05095672607422,False,False,False,True,False
2024-06-19 16:58:09,200.0,3.5,182.92803955078125,13.942947387695312,True,75.67255401611328,False,False,False,True,False
2024-06-19 16:58:11,200.0,3.5,185.03948974609375,13.938163757324219,True,75.32052612304688,False,False,False,True,False
2024-06-19 16:58:14,200.0,3.5,185.03948974609375,13.938163757324219,True,75.38285827636719,False,False,False,True,False
2024-06-19 16:58:16,200.0,3.5,188.40199279785156,14.248390197753906,True,74.76008605957031,False,False,False,True,False
2024-06-19 16:58:19,200.0,3.5,192.0712127685547,14.669564247131348,True,74.06692504882812,False,False,False,True,False
2024-06-19 16:58:21,200.0,3.5,196.00718688964844,14.7514009475708,True,73.30455780029297,False,False,False,True,False
2024-06-19 16:58:24,200.0,3.5,200.0451202392578,14.958878517150879,True,72.50519561767578,False,False,False,True,False
2024-06-19 16:58:26,200.0,3.5,203.9929656982422,14.576712608337402,True,71.70392608642578,False,False,False,True,False
2024-06-19 16:58:29,200.0,3.5,208.0272979736328,14.012019157409668,True,70.86865234375,False,False,False,True,False
2024-06-19 16:58:31,200.0,3.5,211.69400024414062,14.166033744812012,True,70.09117889404297,False,False,False,True,False
2024-06-19 16:58:34,200.0,3.5,214.87014770507812,13.123481750488281,True,69.39796447753906,False,False,False,True,False
2024-06-19 16:58:36,200.0,3.5,217.44236755371094,13.247838973999023,True,68.8140640258789,False,False,False,True,False
2024-06-19 16:58:39,200.0,3.5,218.71377563476562,12.79141616821289,True,68.48233795166016,False,False,False,True,False
2024-06-19 16:58:41,200.0,3.5,219.73538208007812,11.976554870605469,True,68.19619750976562,False,False,False,True,False
2024-06-19 16:58:44,200.0,3.5,220.1112060546875,11.873406410217285,True,68.03832244873047,False,False,False,True,False
